"rating","author","title","description"
"5","Brandon","No Title","An excellent anti inflammation cream that helps me recover faster and get back at it harder. Working out hard and lifting heavy weights typically leads to sore muscles. Stretching and this cream are the answer to reducing that soreness by 70-80%."
"5","John","No Title","It’s a good product. I’ve been using it on just sore joints, and some calf muscles seems to relieve some of the strain on the muscles and soreness. Definitely has helped improved with some recovery after runs. ￼"
"5","Vernon","No Title","Super amazing"
"5","K.W.","No Title","Can’t say how, but it works ￼"
"1","Christopher","No Title","Unable to use. The pump does not work."
"5","Greg","No Title","This product helped me a lot after throwing out my lower back."
"1","Matt Patillo","Not much difference","I’ve been using this daily for almost three weeks and I’ve not notice any difference"
"2","Michael McGraw","No Title","Ok"
"5","Steve H","Sweet Relief","I had heard great things about 27:17 and it is all true. I tore my left quad in half last year and after the repair it has been a grind of recovery. This is really helping with the soft tissue swealing that persists but I am now seeing some relief.

Thank you 27:17!!"
"5","Joseph Montgomery","Seriously powerful stuff","This stuff works. I’m a jiu-jitsu guy among many other hobbies so I’m constantly dinged up. I recently had an ankle sprain from trail running and this is the first time I’ve used the cream for injury recovery vs just regular soreness relief. These sprains are common for me on these technical NE trails. But this recovery was anything but common. I did everything business as usual except the 27:17 cream. I lathered this stuff on several times a day and this recovery has easily been cut down by more than half. Also pretty amazing to see a product with one of my favorite scriptures on it. :)"
"5","Taos Ford","Great customer Service","I bought the cream and i received the email that it was delivered. Go check my box and nothing.. the post office lost my package. I email the 27:17 team and they respond immediately and sent me another one.. i offered to pay the cost or half and they wouldn’t have it.. talk about great customer service. If you’re in the fence admit ordering this product, i would say just order it.. these people are not here to screw your over. Thank you for such great service"
"1","Lynn Thompson","Worth Every Penny","Love your product"
"5","Isaac","No Title","Wow."
"2","Evan Rizzitello","Could be better","Not as good as I thought."
"5","Jonas Newell","Legit","Have had a nagging knee pain tender to touch for months, used this and within 2.5 weeks no more tenderness"
"5","George Parrado","Worked for me!","My son was using 27:17 on his knee and was very pleased with the results he was achieving. He recommended I try it on my shoulder. Within a few days of use, I noticed a drop in pain level."
"5","Grant Schick","It's been working","I look at a lot of the reviews. Yes the bottle isn't to big but you don't really need a lot. I put it on twice a day and I've noticed a lot better movement in my neck"
"1","Nick Milligan","I really wanted this to work...","Unfortunately, I have not felt any noticeable difference since using this product. I sent back the 2nd shipment and cancelled my subscription."
"5","Haden Roberts","Voodoo","Was skeptical, but relieved my soreness and inflammation within minutes!"
"4","Tanzim Zaman","It feels like it's working slowly","I just have started to use it over like 5 days. I feel like it's working but I can't really tell too much of a difference. But time will tell."
"4","Rex Walters","It’s been good.","I do feel better after applying. Over the course of the day, the soreness does come back. Hoping for continued improvement over the course of the next couple of weeks."
"5","Tifany","No Title","This stuff is magic!!!! Buy it!!!"
"5","Marsh","It works!","I’m in the police academy and I teak my knee. I need to push through and still get my objectives done. I get some acupuncture the first day I get a chance and while there I see the 27:17 ad on IG. I remember hearing about this magic cream from watching Bo on the JOCKO podcast. I go can’t hurt gotta try this stuff. First off super fast shipping got it the very next day. Then boom start putting it in twice a day minimum and in less than a week I noticed a big drop in my daily pain of still pushing it. About 2 weeks I’m 100% and back at it. I know 27:17 is the reason I was able to push and keep going. I bought a second bottle already to have on stand by for any body soreness or injuries that may arise. Thanks for sharing this and helping us get healed up quickly.
PS I like the smell also much better than most creams.
Thank you"
"1","Mark Olthoff","No results","Company and mission are great but I’m sorry I don’t feel any different using the product; tried twice in a day and feel nothing."
"5","Felix Hernandez","Coach power.","I am a wrestling coach 25yrs.. I use it for my shoulder.. We coaches have some issues with pain. I have all 3 of my coaches ordering it. I’ve also told the other coaches in other sports.. We’re all believers! Thank you!"
"3","Matthew Stratton","27;17 new PRODUCT","not sold on it just yet"
"5","Rick Millard","27-17","It's good stuff but I wish it would last longer then 8 hrs. I work 10-12 hours a day"
"4","Jason Sedbrook","No Title","Relief & Recovery Cream"
"5","Gizzy","No Title","Honestly didn't help with my pain"
"1","Jason Witherspoon","I did not receive my order!!","I have been working out of town and when I finally got home. My order was nowhere to be found. I checked with USPS and they couldn;t find anything."
"4","Jerri Lynn Kelly","How 27:17 works","My son told me about this product and also said it was really goodl, so I purchased the item, used it for the first night, and I noticed a difference right away, started putting it on my back and hips, where the worst of my pain is at, it helped tremendously. Also put it on my hands and my thumbs have really bad arthritis and it’s stopped it from hurting, I use it every day few times a day it does help with the pain, of course it will never get rid Of my medical issues on my back and hip but it sure did ease it up, I highly recommend this product and I will definitely be ordering it again"
"5","Ken Hazelbaker","Tried 27:17 for back cramps.","I have had five surgeries on my back since 2007. As a result I have multiple cramps nightly (as many as 20+). I decided to try 27:17 after a recommendation from a friend. It took about a week of using it nightly before I started having fewer cramps and after three weeks I’m down to one or two cramps per night and sometimes none all night. It sure seems to be helping me get better sleep.
PS: I stopped using 27:17 for a few days last week and the cramps started coming back, so I’m back to using it nightly again.
K. P."
"5","Sean Mottishaw","I'da never thunk it...","I'da never thunk that after 25 years of aching, knee pain could go away. That stuff is simply amazing 👏!
It's ached for so long, I'm actually going to miss not feeling well."
"3","Tyrell Marble","Still deciding","Been using a couple times a day for about a week on an achy shoulder. Haven't noticed much improvement but going to continue applying."
"5","Paul Jackow","Great product!","Great product, great ingredients. Would highly recommend in a market of a bunch of fakes, this one delivers!"
"5","Ryan","No Title","I recently had the pleasure of trying the 27:17 Recovery Cream, and I must say it exceeded my expectations in every way. Injured my groin in ice hockey which forced me to look for something on the market to aid my recovery. This cream is truly a game changer when it comes to recovery.

First and foremost, the results are remarkable. After just a few uses, I noticed a significant improvement in the overall texture and appearance of my skin. Swelling and bruising began to fade away within days of use.

The 27:17 Recovery Cream absorbs quickly into the skin. It doesn't leave any greasy or sticky residue behind, making it perfect for both day and night use. The cream has a pleasant, subtle scent that adds to the experience. I appreciate that this cream is formulated with high-quality ingredients that are known for their healing properties. Overall, the 27:17 Recovery Cream has become an essential part of my recovery routine."
"3","Jonathan","No Title","Not sure if I’m using it wrong lol but very minimal pain relief"
"5","AMANDA","No Title","This product works!! I’ve used it on both of my knees & felt a huge difference within the first couple of days."
"5","Gregory LaFex","Awesome","Expensive but works great"
"5","James","No Title","Great product you need to try it"
"5","Michael","No Title","Best product I have bought for myself as a professional jui jitsu competitor"
"5","Jacob Clay","As advertised!","Package delivered yesterday, immediately put on my shoulders. Had no pain whatsoever for rest of the day. Thank you!"
"5","Kevin Williams","Great","Works well to control pain from arthritis and injuries in my feet."
"5","Scott Farabaugh","I think it's helping","I have only used it a week, but it seems to be helping"
"5","Matthew O'Boyle","Good product but not for everyone","I used this after suffering a tear in my rotator cuff and tearing my labrum as well as bulging 3 discs in my C-spine. The inflammation was horrible and this product worked better than the supposed highest grade steroids my doctor prescribed and even better than injections. My only gripe when I see people talk about this product is its healing properties which I don't believe exist, but this product does work great for reducing inflammation even better than medicine in my experience."
"5","Richard Tate II","Works almost immediately","I have issues with my elbows from heavy bench and triceps workouts. I am pain free during my workouts. What pain I can see to have after my works outs is gone as well. It is healing my ligaments and tendons."
"1","Seyedmehran","No Title","Bad"
"3","Tim Fredenburg","27:17 review","Only had 7 days but I was surprised there wasn’t much lotion in it only used sparingly amounts and I noticed alittle but not as much as the hype maybe if I had gotten a full bottle there was lotion in the packaging. But I will continue to squeeze the last drops. No one said how long the lotion should last. I felt something just not enough to really say yes it works great."
"3","Jimmieanne Demaroney","Only complaint","The cap does not stay on. We are a wrestling family. This kids that wrestle so I carry it in my bag and I was constantly trying to find the lid and it ended up getting on a few things in my bag. Def putting it in a plastic bag next tournament. Seem to work good so far. Still a little early to tell"
"5","Michael Koeth","No Title","Relief & Recovery Cream"
"5","Chuck Agathangelou","No Title","Using 27:17 cream helps me recover at night. I have knee pain and arthritis and when I use it relieves the pain and feel a lot better in the morning. First bottle worked so good I ordered two more!"
"5","Anonymous","Amazing results!!","Struggling to recover from a partial tear in my posterior tibial tendon. Started using 27:17 and I felt immediate relief. I will continue to use it regularly. Great stuff!!"
"5","Frank Rose","Really works","I've had elbow pain for almost a year it made me not able to do lots of bicep or forearm concentrated exercises a month and a half I feel I have my arm back... this stuff is miracle cream"
"5","Marcus Hull","Nice to see it actually works!","Happy to feel the relief and very nice to know that there is no CBDs in this product."
"5","T","27:17","Son used on knees after long wrestling tournament. Said he felt improvement and no strange smell. Purchased more."
"5","Donald Van natten","Awesome","Had some serious golf elbow from lifting weights and the pain has literally cut down greatly finally feel like it's healing"
"3","John Baker","No Title","Haven’t felt any changes yet after two weeks"
"5","Sean","It works!","2717 recovery cream has helped speed up healing of a knee injury. Pain became way less, and range of motion increased significantly with the help of this product."
"2","Clayton Pummill","Not noticed","Unfortunately I didn’t notice any impact."
"5","Dawn Elliott","So far so good","So far feeling results in my lower back!! I am very active, crossfit + 3miles a day, and I can feel a difference."
"3","Booker Bell","First time user","How does it take to notice recovery? Should I put the product on everyday or every other?"
"5","Dana Thompson","Great product!","This cream has helped immensely with ligament pain in my knee. I have a whole closet full of random pain relieving gels/creams and none of them compare. I love that it quickly absorbs into the skin & isn’t greasy. I will definitely be reordering soon."
"5","jack easley","Old dude needs help","60 years old work in a oil refinery, Climbing ladders turning valves. Needed help. Now I’m out working the young guys."
"5","Andrew Schneider","No Title","Relief & Recovery Cream"
"5","Frank Sandstedt","Amazing!!!","I had my should completely repaired from injuries in the military, I’m also a big archery hunter and drawn the bow was really hard on my should and caused a lot of pain. Since using this product I have no pain while shooting my bow every after shooting 200 plus arrows."
"5","Devin Stone","Truly amazing","…🫶🏽"
"5","LEE GILLIAM","Great product Weird smell","I’ve used the product for about a week after my runs. My next day fatigue does in fact feel less. Def could work on the scent though. Feel like I smell like a large pickle."
"2","Mike campofredano","Not yet!","Only been using it for two weeks, so I really want to give it a chance, but so far I have not noticed any relief"
"5","Carlos Gonzalez","Miracle potion","I was skeptical purchasing but had a good hunch to do so, not a single regret to say the least. Do everything from death metal drumming to jiu jitsu this stuff really helps with achey joints and pains"
"5","Donna Garrett","Truly impressed","I have to admit I was skeptical at first. My son is a Sophomore in high school and he tends to have knee pain after wrestling practice. I started applying 27:17 after practice when he was sore and it alleviated his pain (and I find the aroma pleasing). Thank you!"
"5","Scott Sypniewski","Real Relief","I’m 58 years old and I am dealing with soreness from playing college football

27:17 is the first product that actually offers relief. Thank you for creating this product"
"5","Talan Hubbard","AMAZING!!!","5 stars all the way!!!!! ⭐️⭐️⭐️⭐️⭐️"
"5","William Williams","Shits Dope","Joints feel 10 years younger"
"3","Shaun Carothers","Not bad","It’s has a weird smell when first applied. Been using it about a week. Feels like it’s doing something after applying not sure if it’s really working or just a waste of money will continue to use"
"4","Rick Bonett Jr","Hopeful relief","I have been using this product for about a week. My knees might be too far gone for anything to help considering I have arthritis in both knees and the left one needs replaced. I'm still hoping that this cream helps some with the constant achiness I get after working out. Still hopeful."
"2","Jeff Krise","No Title","Relief & Recovery Cream"
"5","James Deeks","2717","It actually does work"
"5","Monique Delfin","Miracle Cream!","I purchased 27:17 for my 16 year daughter who is an athlete and is currently recovering from an injury. She absolutely loves it and calls 27:17 her Miracle Cream. Not only is helping her knee feel better, it smells great. Thank you Recovery 27:17! - Mama Delfin"
"5","Fernando Rodriguez","No Title","Excellent"
"5","David Calkins","Feeling great","I've been using 27:17 for a little over a week and the pain in my knees and shoulders have been significantly reduced. I can't wait to see how I feel at the end of the month."
"5","Rhys Humphries-Wadsworth","No Title","Works wonders"
"5","Tom Brosnahan","So far so good","Have been using for about a week and have seen relief to some nagging shoulder soreness"
"5","Paul Bateman","It actually worked","I sort of still don't believe it, chronic ""golfers elbow"" for over a year, a month in massaging 27.27 above & below elbow everyday for a fortnight then alternate days then occasionally it's not troubling me. I haven't pushed it to the limit yet but am unbelievably impressed."
"5","R. K.","No Title","Works as advertised! Had an injury to my bicep and came across this product. It has allowed me to get through workouts and has noticeably accelerated the healing process.

Side note(in your survey email, change your last sentence from the “whole 27:27 team” to the “whole 27:17” team. It’s a great product so surround it with perfection."
"5","Matthew Villarreal","Bro!!!","This stuff is amazing!!! My elbow has been killing me and I was suffering during lifting. Not anymore!! This stuff is the real deal. Thank you!"
"1","Matthew Berger","Works","I have been using this product on my left arm and it has been working well."
"5","Marco Rafalovich","This product lives up to my expectations","By using this cream, I have been able to continue training Jiu-Jitsu and lift weights with minimal recovery time and soreness. I appreciate the product and how it keeps me “in the fight.”"
"5","GARY ROBINSON","Seeing Results","Have been using on low back for the last 2 weeks. Seems to be improving. Time will tell."
"5","Jeremy Peppers","Seems to be healing. Not just masking","I wanted to wait atleast 7 days after I started using your product to give a review. I am 45 years old. I suffer from gout in my feet and hands as well as tendinitis in my elbows and knees mixed in with arthritis throughout my body, especially right now while it getting colder outside. So in the last 7 days I applied your product on my areas that bother me the most and what I noticed, is that it took about 4 days for it to start feeling like it's actually might be healing not just trying to mask the pain. So for now it seems great and I have recommended it to a lot of my friends and family. I am looking forward to continued improvements."
"5","Nick Souza","This stuff is great!!","Lets me keep training during injury."
"5","BYRON CAMPBELL","Knee Surgery","I had knee surgery two weeks ago. I started using 27:17 as soon as I got my bandages off, and my recovery sped up like I couldn’t have imagined. I am a former D1 athlete, and have had a dozen surgeries since my career ended. This is the first time using 27:17, and it has made a significant difference."
"5","Coach Nick","Love the product..","A year ago I had rotator cuff surgery on both shoulders. Its been a hard and painful recover I’ve tried all kinds of topicals but since using 27:17 I’ve notice less pain and a noticeable increase in my range of motion. At 58 yrs olds my knees would always hurt after leg day workouts. Since using 27:17 I’ve noticed no pain and more gains. Just hit a deadlift PR of 455@3reps. I love this product."
"5","Tucker Crain","Nice addition to nightly routine","Added this to my nightly routine and pleasantly surprised. Passing 50 years old, aches and pains settle in at the end of the day after a heavy lift and a day of wearing steel toed boots. Rubbing this into my shoulders, knees, ankles, and toes has been a nice addition helping settling into sleep reduce my discomfort and adding a nice subtle scent. Still evaluating the long term effects, but encouraged from the start after searching for relief besides competitors like the awful smelling Bengay, so thank you 27:17!"
"1","Mark","Absolutely pointless!","Used this twice on a sore should after a wakeboard competition. There was no difference or pain relief. I honestly held two of the people in high regards that you use to promote this product, now I have lost some faith in them. I wish yall did a money back guarantee."
"5","Timothy Liberto","No Title","Great product! First recovery cream I have tried that has actually provided relief and quick healing/recovery to muscles and joints."
"5","Mark","No Title","It works, get it!"
"5","Jared Rangel","27:17 IS LEGIT","First of you’re guys recovery cream os the first stuff I’ve used that actually helps you recover and doesn’t just heat your skin up in the problem area. I’m a commercial electrician and avid BJJ practitioner and use 27:17 on the daily. Recently I got my 62 year old Dad on the recovery cream as well because he rolls BJJ 4-5 times a week and he’s now hooked and we’re spreading the word around our Gracie Academy! I’d be amped on any extra coupons or merch because I’ll continue to support. Great Verse to name a company after too…Proverbs 27:17!"
"5","Chad","No Title","Awesome, had a problem with my shoulder from rolling and I put in on after a session and woke up with no pain at all."
"5","David Evans","Outstanding","Been using it as I rehab after shoulder surgery. Stuff works better than any other topical I've tried. And I've tried em all."
"5","Jim Sullivan","Good stuff!","Myself and my Hunny have been using it. I use it on my back and she uses it on her knees. No complaints so far, thanks for checking in. The only question I would ask is how much is to much? I’m using it once a day, she uses it twice a day. 👍🏻"
"1","William Olivares","Didn't notice","Didn't notice any effects from the cream."
"3","James Mead","Review","The high-end packaging sets the expectation for this product. It smells great, especially compared to the other pain relief rubs. The actual pain relief…..well, it’s okay. I was hoping for more relief, but it’s basically arnica-style relief. Perhaps I’ll mix this with DMSO in the future."
"5","Brendan Shields","Great Product","Definitely helped my knee as I am recovering from a knee injury. Smells great too."
"5","Coach","Best Cream Ever","I am a wrestling coach at the HS level. I spend alot of time banged up. Recently I had a sidelined shoulder injury that I couldn't get over. After three days of using this cream, I gained strength and full range of motion in my arm. The soreness is still there a little, but absolutely 100% noticeable different. I would love to partner with you guys!"
"2","Mike Sewell","Didn’t help","I used this for tennis elbow hoping it would provide some relief. It did not. Not even a little."
"5","J","LEGIT!","The stuff just works! Im an old(er) Army vet with a lot of pains from doing dumb shit. This stuff eases those pains so I can still lift and play with my kids! Buy the stuff, get the stuff, use the stuff!"
"5","Rob","Was skeptical","I always thought “don’t fall for it”, “it’s just good marketing”. But I have a PT test for a new rank coming up, and injured myself preparing for it. I thought, “the worst that can happen is it doesn’t work, I’m already not healing”. This obviously didn’t “heal” my injury. But man did it help with the pain after training, and help with recovery to help me push through my testing. This works, I believe."
"5","Blaine Thibodeau","Constant aches and pain","Came off a long weekend with multiple prolonged injuries from 36 holes a day. The theragun wasn’t doing it anymore so I bought this off an Instagram ad and within two days no more knee pain and the issues with my Achilles were done and gone"
"5","James Haynes","Awesome Product","I was skeptical about if this would work or not, and it did not disappoint. My knee was bothering me for about 6 weeks before trying this product and after using it for about a week, my knee feels 100% better. Definitely ordering more of this!"
"5","James","No Title","I was skeptical if this would work or not and it did not disappoint…my knee was bothering me for about 6 weeks before I bought this product and after about one week of using it, my knee feels 100% better. I’ll definitely be ordering more for sure."
"5","Mark A. Tosoc","Better than bpc 157/tb500","I bought this because of bjj pain after class. Tried bpc 157/tb500 for relief and I didn't get the relief everyone got. Tried 2717 on my shoulder and damn, took the edge off. I'm 51, easy beyond my prime but I love combat sports. 2717 is the way."
"5","Zack","No Title","Love this product so far. Will more than likely continue to buy"
"5","Jack Atherton","Can’t believe how well it works!","Only been using it for a week or so and that lingering twinge of quad tendinitis in my knee has completely gone. Top stuff this!"
"5","Bob","First time user","The cream did work as promised...easy to apply and great packaging! Would like to know if there is a limit on how many times it could be applied daily or how much each time. Also, is it okay to use it for long periods of time without side effects."
"5","Michael Johnson","Game Changing","I was skeptical due to the lack of information on the product and price. However, after a month of use I can attest the product is amazing. Shoulder pain has subsided, soreness and residual recover pain is gone and to top it off the smell of the product is pleasant. Buy without hesitation."
"2","Dave Miller","Smells good. Didn't help pulled muscle, might work on soreness","I hurt my lower back training bjj a few weeks back and came across an interview Bo did with Jocko promoting his new product. I like Bo and Jocko quite a bit so I figured I'd take their word for it. While it smells good, I haven't noticed any physical benefit from using it over the last two weeks. Then again, I've never found a cream that actually does work; this one just happens to be 5x the price of Icy Hot with the same results. Because Bo will one day be UFC champ, and I really wanted this to work, I figured I'd give him the benefit of the doubt and science it a bit. So, I tried it on sore muscles assuming the back injury was too harsh for essential oils. It seemed to provide very mild relief from general training-related soreness, which I appreciated."
"5","Vernon Shelton","10","Super amazing wow OmG"
"5","J","No Title","Best stuff in the game!"
"5","David Wiles","Awesome stuff","This has made a big difference in my shoulder. I have some swelling and impingement. It was aggravated enough that the pain would wake me up every night. Using the recovery cream before bed and I have no issues. Great stuff worth the money."
"5","michael robleno","Recovery Cream","Been using for about a week after my workouts. I have seen a nice improvement in my recovery and reduction in joint swelling."
"5","Tony DeFrancesco","Pain relief","I have been in Law Enforcement for over twenty years and I have lived off Tylenol, Ibuprofen and Bio-Freeze . This is the first the first stuff that lasts. I am sold"
"5","Eric","No Title","Great smell, sore muscles already starting to mend. Fantastic customer service and customer outreach!"
"1","Eric","No Title","Doesn’t have the efficacy that it claims. Have used it daily for my golfers elbow, and quite frankly feel no resolve. I will not purchase again nor recommend to any gym personnel."
"5","patrick Fitzmaurice","Great stuff","My only issue is you can’t tell when you’re a going to be empty . Maybe add a way of indicating the bottle will be empty soon .other than that it might be helpful to state how much you need to use with each application. These issues are very minor and don’t change what a great product you have"
"5","Bobby","No Title","LOVE IT"
"5","Brittany Howard","Great for after the gym","I just got back into the gym and with that comes DOMS. I was SORE and looking for relief. I will be repurchasing this product when I run out, no doubt about it. It smells good and causes a nice sensation. I feel like it helped with my soreness and aches. It was nice to put on at night after a hard workout and a hot shower, really upped the relaxation factor. I like the consistency on it, its not greasy or super cooling or super hot. It feels high end and I like the results I am getting from it."
"5","Thomas Brook","Go Train!","To be honest, I was skeptical about this product. Right about the time I Popped my LCL rolling, Bo Nickal started showing up in my timeline. I needed to get back on the mat so I thought, what the hell! I ordered a bottle and have been using it religiously since. It’s been 2 weeks since my LCL injury and I’m damn near 100%. I would be being lying, if I said 27:17 didn’t aid in the process. Definitely a repeat customer!"
"5","Sergio Zaragoza","Good stuff","When I put 27:17 on, I feel relief for aches almost immediately, wherever I put it I feel tension releasing and a relaxed sent"
"4","Brad Beeman","Neutral","Feels like it helps with swelling(idk I’m not a doctor) early indications are impressive… TBD on long term effects! So far so good!"
"5","Fred Ossanna","Outstanding product","27:17 really helps make the typical brushing and sore spots from rolling lessen almost immediately. Great stuff, highly recommend"
"5","Nienhaus","You need this","I ordered this off a whim. It feels great not greasy and smells great. The day it showed up. I happen to have a issue with my IT band down by my knee. I’ve been using that icing it and stretching and getting better but I think 2717 has a big deal to do with that."
"5","Christopher","No Title","Love the cooling feeling it delivers!"
"5","Kelly Newcomer","Amazing","I bought on a whim after a shoulder injury at BJJ. This stuff is incredible! I'm not surenhownit works, but I will continue to buy it!"
"4","James Scott","27:17","I enjoy the product but the pump is sub standard. Upgrade the pump mechanism or change the container."
"5","Jim Thompson","Awesome product","Early review is this stuff is amazing. Shoulder pain almost completely gone. Great package. Easy application. Nice smell not greasy"
"5","Dennis A","Works great","27:17 has helped heal skin on my arms in 1/2 the time. As a retired firefighter I have a lot of skin issues from burns on my arms and hands. This product has allowed me to heal quicker. I am hoping with continued use I may not get as many skin tears."
"5","Daniel Yonemoto","Basically Wolverine Lotion","Exactly what you'd think minus the mutton chops and knife knuckles"
"5","Ron Manes","Good…packaging","This product does smell really nice and may even be working on my knee joint as I train wisely as a bjj teacher. I will say though, Shipping took a little while and I was a little disappointed however the product came very well branded and packaged for the company. I appreciate that as a small business owner but it may keep people from returning due to the slight ship delay. My $.02"
"5","Jeff Antcliff","No Title","Relief & Recovery Cream"
"5","Bruce Cameron","No Title","Great product, everyone in the family thinks it’s excellent!"
"5","Michael Krushinsky","Best topical recovery cream I’ve used","This stuff keeps my knees and hips feeling good from multiple heavy sessions each week."
"5","Brent Fisher","No Title","Relief & Recovery Cream"
"5","Ray Bangit","Newbie","So far I’ve been using the cream before rolling and there’s a difference. I have knee injuries and hopefully this will my road to recovery"
"4","Rusty B.","Nice, pleasant cream","I am using this on a chronic back injury as well as an elbow with tendonitis. I have not noticed a dramatic improvement over the last 2 weeks that I've been using the product. It does feel good when I apply the cream and there might be a slight improvement when I apply it. I am hoping for long term improvement and so far I unfortunately cannot report that result. I plan to continue to treat my problem areas and hope for more tangible results with additional time."
"5","roy v.","RIDICULOUS!!!","Guys…. I’m BLOWN away. I had confidence in this when I ordered it because I trusted what I had heard about it and was really impressed with the vision of the company.
I’m an older , banged up veteran who just started training Jiu Jitsu 2 years ago. Needless to say I get my share of annoying little injuries training and keeping up with the young guys. I’m 4 weeks into using this stuff and I’m blown away. It’s RIDICULOUS how good it works. It’s not just a cream that “covers up” the injury for a little while. It’s helping the HEALING of it. And FAST!
Guys, I LOVE LOVE LOVE IT and I tell EVERYONE about it.
You’ve really cracked the code. Phenomenal job. Thank you so much for this and thanks for all of your hard work. Customer for life! Praying for your continued success and your vision with this product."
"4","Alex True","GOOD!","Love it"
"4","Bruce Brinker","Seems to work","It does seem to help with pain which is probably due to the arnica? I’ve used it on my knee and wrists, I’m 47 and not as young as I used to be. I did experience relief from discomfort. Skin can only really absorb so much of the stuff as it is kinda a massage-ish oil also. It does smell pretty good."
"5","Andrew Groat","Great product","Product works GREAT. However the bottle dispenser/ plunger did not work."
"5","Connor Martin","Great for BJJ","I use this after a night of rolling on the mats, it definitely helps with the soreness and recovery. It also has a nice smell which is way better than the chemical smell of other creams."
"5","RH","Legit","I really like this stuff, it definitely helps provide relief and recovery for an injury I have in my right arm. I wish it was cheaper, but worth the price and will buy again."
"5","Kelly Rice","27:17","This product has worked for my rehabilitation for a torn patella tendon. My recovery time and knee has been on the fast track to get me back on the football field."
"5","Rick Minniear","3yr knee pain","As a physical therapist who wanted to keep training, my plica syndrome knee pain never fully healed over last 3 years with small set backs here and there. With daily applications of 27:17 over the last 3weeks and continued knee specific strength and stretching exercises along with heat and ice, my pain has reduced 80% with no set backs during training. Great complementary tool for soft tissue healing!"
"5","Weston Straight","No Title","Relief & Recovery Cream"
"1","Anonymous","Disappointed ☹️","I really wanted to like this stuff! However, upon using it on multiple sore areas of my body (elbow, knee, calf) I did not feel any relief."
"5","William C.","27:17 Recovery","I bought this for my son to try out as the 23-24 wrestling season begins but we haven't been up to the college again yet. I have a knee that gives me trouble when it reaches new levels since I injured it in 1987 and decided to try it out. It definitely knocked the edge off in a short period of time and seemed to be relaxing throughout. I rubbed it in all the around my knee and elevated. Great stuff!! I can't wait to get it to my boys next week!! Thank you!!"
"5","Greg Ische","No Title","Will definitely be getting more"
"5","Matt","I love it","Recently hurt my knee and since using the cream it seems my recovery has sped up. Great product"
"5","Jolene Fielding","Great fast working.","Would use again and again. Definitely recommend for fast acting pain relief. I plan to use it as stocking stuffers for all my athlete kids."
"5","Matthew Broderick","Murse pain","Working as a critical care nurse you are pushing and pulling weight all day. Sometimes even the horses get sore. Well I tried this product among other trials in the past. This product actually works. I will most likely continue 27:17 because it helped reduce a sore 45 y/o workhorse body."
"5","FRANK MURPHY","Game-Changer!","I use 27:17 on my right Achilles (micro-tears) - and it's benefited beyond my imagining. It's almost like magic. I also use it before lifting as a ""warm-up""; this cream has that much versatility! I have bought it for my dad, my mother-in-law, my son, and my step-daughter - each one of them swear by it now! One of the best products I have ever used. Incredible!"
"5","DAVID A GITLITZ","Dupuytrens","I have Dupuytrens in my hands and it’s very painful. When I try and stretch my fingers out, it comes with major discomfort. I’ve been using 2717 recovery for the last week and it is allowed my hands to stretch out with minimal pain and discomfort. I love playing golf and this is helped me grip the club with comfort again it may not fix my Dupuytrens, but has allowed me to use my hands as I’m accustomed to ? This is the only product that has made a difference in the way my hands feel. No more pain…"
"5","William Grubb","Product review","Works great. A knee gets stiff every now and then but 27:17 takes care of it and it is just like new."
"5","Erich","It's Legit","I picked up the 27:17 product to see if it would help my recovery and aches from training powerlifting movements. And so far so good. I've had noticeable improvements, specifically with my shoulders. I have used it daily for the past couple of weeks and look forward to its long-term effectiveness."
"5","Mitchell Brown","No Title","Great stuff!"
"5","David Kinsella","Amazing","Overnight takes away pain and inflammation."
"5","Ariane Duncan","Fkn Amazing!","After a major knee surgery my knee hurt all the time, the bakers cyst was huge causing extra pain. After a week of using this my bakers cyst is almost gone along with the tightness and pain in my knee. It works so well I bought my mom amd daughter some."
"5","Mark Rusnak","FIRE","27/17....it's Biblical"
"5","Jolene","No Title","Highly recommend. I have wrestlers and MMA in my house."
